"tweet_id","type","probability","text"
1332023101664747520,"Place",0.9873,"Canada"
1332022726287093760,"Place",0.8889,"Ontario"
1332019935464230915,"Place",0.9977,"Canada"
1332017752945664000,"Place",0.9846,"Canada"
1332017752945664000,"Place",0.6858,"New York City"
1332017752945664000,"Organization",0.9515,"Uber"
1332017752945664000,"Organization",0.732,"DoorDash"
1332016828927922176,"Place",0.6395,"Toronto"
1332014077032361984,"Place",0.8301,"Ontario"
1332014077032361984,"Other",0.4198,"Ontario Sunshine List"
1332011972326547460,"Place",0.8842,"Toronto"
1332011507157245953,"Place",0.8973,"Ontario"
1332011507157245953,"Place",0.5524,"New York City"
1332011507157245953,"Organization",0.9406,"Uber"
1332011507157245953,"Organization",0.5061,"DoorDash"
1332011507157245953,"Organization",0.5164,"Covid"
1332006568230055936,"Place",0.9923,"Canada"
1332006206710321152,"Place",0.9857,"Canada"
1332002718240690178,"Organization",0.5086,"Canada Emergency Response Benefit"
1332002526049173504,"Place",0.494,"SURREY"
1332002526049173504,"Place",0.9812,"Canada"
1332002307324612610,"Place",0.4848,"SURREY"
1332002307324612610,"Place",0.9801,"Canada"
1332001962909437955,"Place",0.8679,"Ontario"
1332001962909437955,"Person",0.5676,"Covid"
1332001954227126272,"Place",0.4848,"SURREY"
1332001954227126272,"Place",0.9801,"Canada"
1332000149820878849,"Place",0.9974,"Brazil"
1332000149820878849,"Place",0.9925,"Canada"
1331999215678054409,"Organization",0.6081,"Public Health"
1331998913163915267,"Organization",0.6482,"Public Health"
1331998708741890048,"Place",0.9761,"Canada"
1331995060607528962,"Organization",0.7401,"AstraZeneca Plc"
1331994446347390978,"Place",0.8984,"Alberta"
1331993333187698694,"Organization",0.5998,"N.B."
1331993283329929217,"Person",0.4576,"Covid"
1331993283329929217,"Person",0.3478,"ONGov"
1331992912545128450,"Organization",0.609,"Public Health"
1331991472909004801,"Place",0.9804,"Canada"
1331989992550363138,"Person",0.9969,"Richard Schiff"
1331989992550363138,"Other",0.6036,"The Last Word"
1331989992550363138,"Place",0.516,"Vancouver General"
1331989953035767811,"Place",0.428,"Toronto City"
1331989953035767811,"Person",0.9512,"Dan Kelly"
1331989953035767811,"Person",0.9344,"Alan Liu"
1331986432177680386,"Person",0.7854,"Doug Ford"
